id,comments
1,"My daughter and I had a wonderful stay with Maura. She kept in close touch with us throughout the day as we weren't arriving til later in the evening. The room was charming and the whole apartment was very warm and eclectic. She asked us what time we'd like breakfast and laid out a very nice spread. Right down the street from Jamaica Pond and very close to Center St. as well. All in all, great experience!"
2,"We stay at Elizabeth's place for 3 nights in October 2014.
The apartment is really a great place to stay. 
Lovely decorated and extremely well located. Very close to Back Bay station if you come by train, and close also to the subway and just a nice walk from the city center. 

I would say that is better that what you appreciate in the pictures
Also the bed is very confortable.
So really it was an optimal choice for us."
3,"If you're staying in South Boston, this is a terrific place to camp out. The apartment and bedroom are lovely, Ellie is an excellent host, and there is a lot within walking distance in a neighborhood on the rise."
4,"Derian and Brian were great and prompt with their communications with us. The room was as described; it was a small nice and clean room with a very comfortable bed and pillows. We shared a bathroom with others in the apartment. Derian had turned on the AC in our room prior to our arrival which we appreciated a lot. He also greeted us kindly when we arrived and showed us around. We arrived late and left early in the morning to catch our flight, so unfortunately, we did not get a chance to meet Brian or to talk much with Derian. "
5,John and Dan were gracious hosts and the location and accommodations were very nice......as listed.
6,"The best thing about Sean's place is the location. It's by a T station, there are a number of groceries and restaurants around, etc. It was nice to see all the drawings he made while studying architecture. The building is a bit old so walls are a bit thinner but overall it was a nice place to be.

Sean was great in answering phone calls and questions. He was there to meet us when we got to the place."
7,"Tom was very welcoming and available for easy access into the condo. It was just lovey and looked just like the pictures posted. We found the location to be very convenient to the city,  quiet, and perfect. Overall, our trip was most enjoyable. Thanks Tom. "
8,"I had a nice stay at Benjamin's apartment. It's very well located. There are public parkings very close, it was really accommodating. I would definitely recommend it!"
9,"Totally accurate pictures and descriptions.  A fun place to stay in the North End.  Great bed, very clean, very user friendly!  I would stay here again."
10,"Shelley was so nice and helpful. I could tell that this wasn't her first rodeo when it comes to renting out her space. She was really well prepared for guests and ready/willing to answer any questions we had. I also really enjoyed her sweet cats. The tiger/grey one was so sweet, almost dog-like. The room was cozy and comfy, there were an ample amount of fresh towels, and the water pressure in the shower was really nice. I would equate the neighborhood to Crown Heights/East Flatbush in Brooklyn -- not as clean as Brooklyn Heights, but not particularly dangerous. Easy access to the T. Cute, old home that I would highly recommend to friends. "
